nobb,kategori,produktnavn,leverandor,enhet,kommentar
25410978,Trelast,Terrassebord cu impregnert furu 28x120 klasse 1,Standardsortiment,lm,Volumvare sesong
40431917129,Trelast,Konstruksjonsvirke 48x198 c24 4.8m impregnert,Moelven,stk,Verifiser NOBB
,Trelast,Konstruksjonsvirke 48x98 c24 4.8m,Moelven,stk,Volumvare - finn NOBB i PIM
,Trelast,Lekt 30x48 3.0m,Standardsortiment,stk,Volumvare - finn NOBB i PIM
,Trelast,Tommermannspanel 19x148 gran,Standardsortiment,lm,Volumvare - finn NOBB i PIM
,Trelast,Innvendig furupanel slett 14x120,Standardsortiment,lm,Volumvare - finn NOBB i PIM
5709636009917,Plater,Gipsplate Norgips Standard 12.5x1200x2400,Norgips,stk,Volumvare hele aaret
7029560005389,Plater,Gulvspon 22x620x2420 standard,Forestia,m2,Volumvare
,Plater,OSB-plate 18x1220x2440,Norbord,stk,Volumvare - finn NOBB i PIM
7029560088863,Plater,Veggplate Walls2Paint 12x620x2390,Forestia,m2,Volumvare
7090004709477,Plater,Membranplate Litex 13x600x2440,Litex,stk,Volumvare baderom
7029560055759,Plater,Takplate Tak-Ess hvit 12x620x1220,Forestia,m2,Volumvare
7032463821000,Isolasjon,Glava Proff 34 plate 100x570x1200,Glava,m2,Volumvare hele aaret
7032463822007,Isolasjon,Glava Proff 34 plate 200x570x1200,Glava,m2,Volumvare hele aaret
7050780598825,Isolasjon,Rockwool Flexi A-plate 50x565x1200,Rockwool,pakke,Volumvare hele aaret
7032463800500,Isolasjon,Glava Proff 34 rull 50x560x9200,Glava,pakke,Volumvare hele aaret
,Isolasjon,Bewi Jackofoam XPS 50mm,Bewi,pakke,Volumvare - finn NOBB i PIM
7057755211536,Tak,Isola Selvbygger overlag,Isola,rull,Volumvare hytte/uthus
7057755250412,Tak,Isola Iso-D xtra undertak 1x25m,Isola,rull,Volumvare
7057755010139,Tak,Isola Takshingel skraa sort,Isola,m2,Volumvare hytte
7057757800134,Tak,Isola Powertekk takplate sort,Isola,stk,Volumvare hytte
7057755371438,Vind/dampsperre,Isola Vindsperre Basic 1.30x25m,Isola,rull,Volumvare
7030840013406,Vind/dampsperre,Filtex vindsperre/undertak,Filtex,rull,Volumvare
7059129045471,Vind/dampsperre,Bewi heftekant dampsperre 0.15mm 2.6x15m,Bewi,rull,Volumvare
7054963353706,Mortel,Weber B30 torrbetong 25kg,Weber,sekk,Volumvare
7071360521743,Mortel,Weber FXA gulvavretting 20kg,Weber,sekk,Volumvare
7350090400253,Mortel,Byggsement 25kg,Norcem,sekk,Volumvare
,Festemidler,Essve treskrue Easyfix 4.8x55 250stk,Essve,pakke,Volumvare - finn NOBB i PIM
,Festemidler,Essve terrasseskrue A4 syrefast 4.8x75,Essve,pakke,Volumvare sesong - finn NOBB
,Festemidler,Essve gipsskrue 3.5x35 1000stk,Essve,pakke,Volumvare - finn NOBB i PIM
,Maling,Jotun Lady Pure Color 2.7L hvit base,Jotun,boks,Volumvare interior
,Maling,Jotun Drygolin Nordic Extreme 3L,Jotun,boks,Volumvare ute
,Maling,Jotun Demidekk Ultimate 3L,Jotun,boks,Volumvare ute
7057754012011,Drenering,Isola Platon Xtra grunnmursplate,Isola,m2,Volumvare
7073203100092,Drenering,BB drensror 83/100mm,BB Produkter,stk,Volumvare
7030840010016,Drenering,Filtex fiberduk svart,Filtex,rull,Volumvare
,Elektroverktoy,Makita DHP484RFJ 18V drill kit,Makita,stk,Volumvare - finn NOBB i PIM
,Elektroverktoy,Bosch GSR 18V-55 Professional drill,Bosch,stk,Volumvare - finn NOBB i PIM
,Elektroverktoy,Karcher K5 Premium hoytrykksspyler,Karcher,stk,Volumvare sesong
,Hage,Stiga Combi 50 Q B bensingressklipper,Stiga,stk,Volumvare sesong - finn NOBB
